Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medby.json	29562	-	0	0	0	0	0	0	21	129	0	0	0	0	0	0	0	1	0	0	351	361	0	0	0	23	1	2
fsh-generated/resources/CapabilityStatement-OncologyKenyaCapabilityStatement.json	1185	7	0	0	1	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	79	43	0	0	0	1	0	0
fsh-generated/resources/CarePlan-example-oncology-careplan.json	1894	5	0	0	0	0	0	0	0	3236	0	0	0	0	0	0	0	0	0	0	31	29	0	0	0	0	0	0
fsh-generated/resources/Claim-example-oncology-claim-nyandarua.json	1724	6	0	0	0	0	0	0	1	31	0	0	0	0	0	0	0	0	0	0	31	30	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-tumor-markers.json	1167	6	0	0	0	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	26	2102	0	0	0	1	0	0
fsh-generated/resources/Condition-breast-cancer-condition.json	510	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	15	20	0	0	0	0	0	0
fsh-generated/resources/DiagnosticReport-example-oncology-diagnostic-report.json	2064	5	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	32	43	0	0	0	0	0	0
fsh-generated/resources/Encounter-example-oncology-encounter.json	2185	6	0	0	1	0	0	0	0	2638	0	0	0	0	0	0	0	0	0	0	29	41	0	0	0	0	0	0
fsh-generated/resources/Goal-tumor-reduction-goal.json	336	6	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0
fsh-generated/resources/Location-example-kenyatta-national-hospital-oncology.json	1056	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	20	21	0	0	0	0	0	0
